92.118.160.57 - - "2021-11-08 00:02:57" https://arj.af/index.php/arj/index 200 "Go http package"
109.102.111.61 - - "2021-11-08 17:07:19" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPad; CPU OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/7.0.55539 Mobile/12B410 Safari/600.1.4"
109.102.111.61 - - "2021-11-08 17:07:20" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:25" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:36.0) Gecko/20100101 Firefox/36.0"
109.102.111.61 - - "2021-11-08 17:07:28" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
109.102.111.61 - - "2021-11-08 17:07:30" https://arj.af/index.php/arj/article/view/4 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; GIL 3.5; rv:11.0) like Gecko"
109.102.111.61 - - "2021-11-08 17:07:31" https://arj.af/index.php/arj/article/view/5 200 "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/8.0; TNJB; 1ButtonTaskbar)"
109.102.111.61 - - "2021-11-08 17:07:32" https://arj.af/index.php/arj/article/view/6 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:34" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; MDDRJS)"
109.102.111.61 - - "2021-11-08 17:07:40" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; Trident/7.0; rv:11.0) like Gecko"
109.102.111.61 - - "2021-11-08 17:07:41" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:28.0) Gecko/20100101 Firefox/28.0"
109.102.111.61 - - "2021-11-08 17:07:42" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:36.0) Gecko/20100101 Firefox/36.0"
109.102.111.61 - - "2021-11-08 17:07:44" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:45" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; MASMJS; rv:11.0) like Gecko"
109.102.111.61 - - "2021-11-08 17:07:46" https://arj.af/index.php/arj/article/view/4 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 AOL/9.7 AOLBuild/4343.4049.US Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:47" https://arj.af/index.php/arj/article/view/5 200 "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; MASMJS; rv:11.0) like Gecko"
109.102.111.61 - - "2021-11-08 17:07:48" https://arj.af/index.php/arj/article/view/6 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:49" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.4.6.1000 Chrome/30.0.1599.101 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:52" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; BOIE9;ENUS; rv:11.0) like Gecko"
109.102.111.61 - - "2021-11-08 17:07:54" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 AOL/9.7 AOLBuild/4343.4049.US Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:55" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.2; ARM; Trident/7.0; Touch; rv:11.0; WPDesktop; Lumia 1520) like Gecko"
109.102.111.61 bot - "2021-11-08 17:07:58" https://arj.af/index.php/arj/article/download/5/3/20 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 BingPreview/1.0b"
207.46.13.99 bot - "2021-11-08 17:24:19" https://arj.af/index.php/arj/article/view/5 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.112 bot - "2021-11-08 19:13:39" https://arj.af/index.php/arj/article/view/4 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.25 bot - "2021-11-08 19:33:16" https://arj.af/index.php/arj/article/view/6 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.113 bot - "2021-11-08 19:49:05" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.74.79 bot - "2021-11-08 20:21:03" https://arj.af/index.php/arj/article/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.130 bot - "2021-11-08 20:58:22" https://arj.af/index.php/arj/issue/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.74.81 bot - "2021-11-08 21:46:49" https://arj.af/index.php/arj/issue/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
93.158.91.205 - - "2021-11-08 22:04:37" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
157.55.39.51 bot - "2021-11-08 23:15:25" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
41.82.129.51 - - "2021-11-08 23:20:21" https://arj.af/index.php/arj/article/view/6 200 "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C)"
39.96.1.102 bot - "2021-11-08 23:57:12" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html);"
