5.102.173.71 bot - "2021-11-01 00:06:18" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; MojeekBot/0.10; +https://www.mojeek.com/bot.html)"
74.118.82.157 - - "2021-11-01 05:17:48" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
74.118.82.157 - - "2021-11-01 05:18:40" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
74.118.82.157 - - "2021-11-01 05:19:11" https://arj.af/index.php/arj/article/download/7/5/19 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
74.118.82.157 - - "2021-11-01 05:19:19" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
23.106.249.34 administrative 1 "2021-11-01 05:21:05" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
23.106.249.34 administrative 1 "2021-11-01 05:22:12" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
61.5.200.159 - - "2021-11-01 05:27:55" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
61.5.200.240 - - "2021-11-01 05:33:31" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
61.5.200.240 - - "2021-11-01 05:34:39" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
61.5.200.240 - 5 "2021-11-01 05:35:23" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
61.5.200.240 - 5 "2021-11-01 05:36:41" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
66.249.73.130 bot - "2021-11-01 05:41:38" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
61.5.200.240 administrative 5 "2021-11-01 05:42:22" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
61.5.200.240 administrative 5 "2021-11-01 05:43:27" https://arj.af/index.php/arj/article/download/6/8/18 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
61.5.200.240 administrative 5 "2021-11-01 05:44:35" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
61.5.200.237 - - "2021-11-01 05:45:12" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.200.237 - - "2021-11-01 05:46:06" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.200.240 administrative 5 "2021-11-01 05:46:13" https://arj.af/index.php/arj/article/view/6 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
61.5.200.237 - - "2021-11-01 05:49:53" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
66.249.74.79 bot - "2021-11-01 05:55:27" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
61.5.200.237 - - "2021-11-01 05:56:43" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.200.240 administrative 5 "2021-11-01 06:11:40" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
180.94.69.66 - - "2021-11-01 06:20:32" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
180.94.69.66 - - "2021-11-01 06:20:32" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
180.94.69.66 administrative 8 "2021-11-01 06:35:31" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
61.5.200.159 - - "2021-11-01 06:44:18" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
92.118.160.1 - - "2021-11-01 06:53:45" https://arj.af/index.php/arj/index 200 "Go http package"
61.5.200.159 - - "2021-11-01 07:04:14" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
64.207.212.59 - - "2021-11-01 07:10:03" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/87.0.4280.77 Mobile/15E148 Safari/604.1"
61.5.200.159 - - "2021-11-01 07:11:29" https://arj.af/index.php/arj/article/download/7/5/19 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
61.5.200.159 - - "2021-11-01 07:11:39" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
64.207.212.59 - - "2021-11-01 07:11:46" https://arj.af/index.php/arj/article/download/5/3/20 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/87.0.4280.77 Mobile/15E148 Safari/604.1"
64.207.212.59 - - "2021-11-01 07:11:49" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/87.0.4280.77 Mobile/15E148 Safari/604.1"
64.207.212.59 - - "2021-11-01 07:11:57" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/87.0.4280.77 Mobile/15E148 Safari/604.1"
64.207.212.59 - - "2021-11-01 07:11:59" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/87.0.4280.77 Mobile/15E148 Safari/604.1"
61.5.200.159 - - "2021-11-01 07:12:11" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
61.5.200.159 - - "2021-11-01 07:12:13" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
61.5.200.159 - - "2021-11-01 07:12:15" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
61.5.200.159 - - "2021-11-01 07:12:35" https://arj.af/index.php/arj/article/download/7/5/19 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
61.5.200.159 - - "2021-11-01 07:12:37" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
61.5.200.159 - - "2021-11-01 07:12:40" https://arj.af/index.php/arj/article/download/7/5/19 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"
66.249.73.130 bot - "2021-11-01 07:54:36" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
64.207.212.64 - - "2021-11-01 08:26:59" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36"
64.207.212.64 - - "2021-11-01 08:27:28" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36"
64.207.212.64 - - "2021-11-01 08:33:45" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36"
103.216.160.213 - - "2021-11-01 09:49:53" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
149.154.161.1 bot - "2021-11-01 09:50:28" https://arj.af/index.php/arj/index 200 "TelegramBot (like TwitterBot)"
103.216.160.213 - - "2021-11-01 09:51:49" https://arj.af/index.php/arj/article/download/4/2/21 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36"
163.172.70.215 - - "2021-11-01 10:10:31" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0"
61.5.197.132 - - "2021-11-01 11:09:55" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:10:15" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:10:24" https://arj.af/index.php/arj/article/download/3/10/22 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:10:41" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:10:54" https://arj.af/index.php/arj/article/download/3/10/22 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:11:10" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:11:21" https://arj.af/index.php/arj/article/download/3/10/22 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:11:24" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:11:26" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:11:35" https://arj.af/index.php/arj/article/download/3/10/22 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:11:43" https://arj.af/index.php/arj/article/download/3/10/22 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:11:55" https://arj.af/index.php/arj/article/download/3/10/22 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:14:00" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 administrative 10 "2021-11-01 11:20:26" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 - - "2021-11-01 11:20:47" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 administrative 10 "2021-11-01 11:21:48" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
61.5.197.132 administrative 10 "2021-11-01 11:23:21" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; STK-L22) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36"
141.95.33.140 - - "2021-11-01 14:25:19" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0"
74.118.82.152 - - "2021-11-01 15:18:58" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36"
87.250.224.198 bot - "2021-11-01 17:17:40" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
87.250.224.54 bot - "2021-11-01 17:18:50" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
197.157.145.171 - - "2021-11-01 18:01:33" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1"
197.157.145.171 - - "2021-11-01 18:02:48" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1"
66.249.73.134 bot - "2021-11-01 20:43:09" https://arj.af/index.php/arj/issue/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.74.81 bot - "2021-11-01 20:55:20" https://arj.af/index.php/arj/issue/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.74.79 bot - "2021-11-01 20:59:53" https://arj.af/index.php/arj/issue/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.130 bot - "2021-11-01 21:03:24" https://arj.af/index.php/arj/issue/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
34.66.201.237 - - "2021-11-01 22:39:57" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36"
92.118.160.9 - - "2021-11-01 23:11:51" https://arj.af/index.php/arj/index 200 "Go http package"
